Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,348.0,0.0,5.0,2.0,7.0
Portugal,209.0,0.0,0.0,0.0,34.0
Spain,275.0,32.0,11.0,2.0,0.0
United States,47.0,4.0,4.0,16.0,1.0
Canada,116.0,22.0,1.0,1.0,0.0
Sweden,5.0,0.0,0.0,0.0,0.0
Italy,31.0,2.0,17.0,17.0,0.0
France,91.0,0.0,1.0,2.0,1.0
Belgium,24.0,1.0,2.0,1.0,0.0
Australia,8.0,1.0,2.0,7.0,0.0
Germany,165.0,0.0,18.0,9.0,1.0
Netherlands,60.0,0.0,0.0,1.0,0.0
Israel,4.0,0.0,3.0,5.0,0.0
Switzerland,12.0,0.0,0.0,3.0,0.0
Greece,1.0,0.0,2.0,2.0,0.0
Austria,1.0,0.0,1.0,0.0,0.0
Argentina,2.0,0.0,0.0,2.0,0.0
Denmark,2.0,0.0,0.0,2.0,0.0
Morocco,1.0,0.0,0.0,1.0,0.0
Slovenia,6.0,0.0,0.0,2.0,0.0
Scotland,12.0,0.0,1.0,1.0,0.0
Czech Republic,6.0,0.0,1.0,1.0,0.0
United Arab Emirates,13.0,0.0,0.0,1.0,0.0
Finland,3.0,0.0,0.0,3.0,0.0
Wales,4.0,0.0,0.0,0.0,0.0
Northern Ireland,2.0,0.0,0.0,0.0,0.0
Sudan,0.0,1.0,0.0,0.0,0.0
Bolivia,0.0,1.0,1.0,0.0,1.0
Iran,0.0,3.0,0.0,0.0,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0
Malta,1.0,0.0,0.0,1.0,0.0
Ireland,9.0,0.0,0.0,0.0,0.0
Mexico,1.0,0.0,0.0,1.0,0.0
Pakistan,0.0,1.0,1.0,0.0,0.0
French Guiana,0.0,2.0,0.0,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0
Peru,0.0,0.0,1.0,1.0,0.0
Brazil,1.0,9.0,1.0,3.0,0.0
Malaysia,0.0,0.0,0.0,0.0,0.0
Hungary,1.0,0.0,0.0,0.0,0.0
Norway,2.0,0.0,0.0,2.0,0.0
Paraguay,0.0,1.0,0.0,1.0,0.0
Costa Rica,0.0,0.0,0.0,1.0,0.0
Gibraltar,1.0,0.0,1.0,0.0,0.0
Mauritius,0.0,0.0,0.0,2.0,1.0
Haiti,0.0,1.0,0.0,0.0,0.0
Uruguay,0.0,1.0,0.0,4.0,0.0
Latvia,2.0,0.0,0.0,1.0,0.0
Cayman Islands,0.0,1.0,0.0,0.0,0.0
Kosovo,0.0,1.0,1.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,1.0,0.0,1.0,0.0
Ghana,5.0,7.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0
Iceland,0.0,2.0,0.0,1.0,0.0
Poland,1.0,0.0,1.0,0.0,0.0
